Brand,Branch,Roometype,Roomame,Nbers of Unitys,Area_avg,Area_min,Area_max,Rent25_avg,Rent25_min,Rent25_max,Waiting_time
Unity,Unity Kista Campus,Studio,Studio Small,,15,15,,6899,6899,,
Unity,Unity Kista Campus,Studio,Studio Medium,,17.5,17,18,7315.5,7240,7391,
Unity,Unity Kista Campus,Studio,Studio Large,,23.5,23,24,8292,8292,,
Unity,Unity Kista Campus,Ensuite,Co-Living,,16,16,,8099,8099,,
Unity,Unity Kista,1Bedroom,1 Room - E,,26,26,,9279,9279,,
Unity,Unity Kista,1Bedroom,1 Room - C,,27.5,27,28,9460,9421,9499,
Unity,Unity Kista,1Bedroom,1 Room - B,,20,20,,8426,8426,,
Unity,Unity Kista,1Bedroom,1 Room - A,,22,22,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - F,,52,52,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - D,,34,34,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - B,,24,24,,11267,11267,,
Unity,Unity Kista,2Bedrooms,2 Room - A,,34,34,,,,,
Unity,Unity Kista,1Bedroom,1 Room - D,,25,25,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - E,,35,35,,,,,
Unity,Unity Kista,1Bedroom,1 Room + B,,25,25,,,,,
Unity,Unity Kista,1Bedroom,1 Room + D,,25,25,,,,,
Unity,Unity Kista,1Bedroom,1 Room + A,,25,25,,,,,
Allihoop,Allihoop _rsta,Studio,Studio,,20,20,,9455,9455,,
Allihoop,Allihoop _rsta,Studio,Studio Plus,,20,20,,11210,11210,,
Allihoop,Allihoop _rsta,Studio,Studio Flex,,25,25,,11400,11400,,
Allihoop,Allihoop _rsta,Studio,Studio Max,,32,32,,12830,12830,,
Allihoop,Allihoop Broma Friends,Studio,Studio,,15,15,,9980,9980,,
Allihoop,Allihoop Broma Friends,Studio,Studio Plus,,20,20,,11305,11305,,
Allihoop,Allihoop Broma Friends,Studio,Studio Max,,26,22,30,13780,13780,,
Allihoop,Allihoop _ngby Aces,Studio,Studio Max,,22,21,23,12150,10800,13500,
Allihoop,Allihoop _ngby Aces,Studio,Studio Plus,,16,15,17,10800,9600,12000,
Allihoop,Allihoop _ngby Aces,Studio,Studio,,11,10,12,11600,11600,,
Allihoop,Allihoop Sp_nga Star,Studio,Studio Max,,28,28,,9975,9975,,
Allihoop,Allihoop Sp_nga Star,Studio,Stuido Smart,,14,14,,6650,6650,,
Allihoop,Allihoop Kransen Icons,Studio,Studio,,15,15,,10070,10070,,
Allihoop,Allihoop Kransen Icons,Studio,Studio Max,,25,25,,13020,13020,,
Allihoop,Allihoop Kransen Icons,Studio,Stuido Plus,,18,18,,10930,10930,,
Unity,UNITY Hammarby Sj_stad,Studio,City Studio,,20,20,,16183.5,16183.5,,
Unity,UNITY Hammarby Sj_stad,Studio,Deluxe Studio,,27,27,,18321.3,18321.3,,
SSSB,SSSB Medicinaren,Ensuite,Corridor rooms,20,17.5,17,18,4126.5,4026,4227,
SSSB,SSSB Medicinaren,1Bedroom,1 room & kitchenette,148,23.5,18,29,5056.5,3111,7002,
SSSB,SSSB Medicinaren,2Bedrooms,2 rooms & kitchen/kitchenette,131,46.5,30,63,7621.5,4272,10971,
SSSB,SSSB Medicinaren,4Bedrooms,4 rooms & kitchen,13,95,95,,10106,9405,10807,
SSSB,SSSB Birka,1Bedroom,1 room & kitchen,144,23.5,21,26,8050.5,7550,8551,
SSSB,SSSB Birka,2Bedrooms,2 rooms & kitchen,22,43.5,43,44,11547.5,11416,11679,
SSSB,SSSB Hammarbyhemmet,Ensuite,Corridor rooms,29,14.5,14,15,4778,4638,4918,202
SSSB,SSSB Hammarbyhemmet,1Bedroom,1 room & kitchenette,2,27,26,28,6714.5,6432,6997,1236
SSSB,SSSB Hammarbyhemmet,2Bedrooms,2 rooms & kitchen,1,43,43,,9603,9603,,1167
SSSB,SSSB Hammarbyhemmet,3Bedrooms,3 rooms & kitchen,1,83,83,,11555,11555,,1238
SSSB,SSSB Hammarbyhemmet,3Bedrooms,3 rooms & kitchen,2,95,95,,12581.5,12328,12835,1199
SSSB,SSSB Embla,1Bedroom,1 room & kitchenette,180,29.5,20,39,6966,5807,8125,796
SSSB,SSSB Embla,2Bedrooms,2 rooms & kitchen,82,49,41,57,10871,9932,11810,845
SSSB,SSSB Embla,3Bedrooms,3 rooms & kitchen,5,60,50,70,12645,11511,13779,820
SSSB,SSSB Balder,Ensuite,Corridor rooms,60,16,15,17,3619,3223,4015,224
SSSB,SSSB Balder,1Bedroom,1 room & kitchenette,32,30,29,31,3619,3223,4015,854
SSSB,SSSB Balder,2Bedrooms,2 rooms & kitchenette,1,49,49,,5575,5575,,
SSSB,SSSB Balder,3Bedrooms,3 rooms & kitchen,1,83,83,,8048,8048,,
SSSB,SSSB Tanto,1Bedroom,1 room & kitchenette,24,25,20,30,4836.5,4405,5268,
SSSB,SSSB Lucidor,Ensuite,Room in collective housing,28,22,12,32,4524,3518,5530,902
SSSB,SSSB Lucidor,2Bedrooms,2 rooms & kitchen/kitchenette,7,64.5,42,87,8928.5,7132,10725,2238
SSSB,SSSB Marieberg,2Bedrooms,2 rooms & kitchenette,30,30,30,,5587.5,4707,6468,945
SSSB,SSSB Apeln ,1Bedroom,1 room & kitchen/kitchenette,4,47,42,52,8933,8549,9317,1964
SSSB,SSSB Apeln ,2Bedrooms,2 rooms & kitchen/kitchenette,10,50,40,60,8731,6991,10471,1566
SSSB,SSSB Apeln ,3Bedrooms,3 rooms & kitchen,9,88,83,93,13862,13264,14460,1786
SSSB,SSSB Kurland,Ensuite,Room in collective apartment,43,16,10,22,6068.5,4110,8027,398
SSSB,SSSB Kurland,1Bedroom,1 room & kitchen/kitchenette,25,39.5,35,44,9346,9125,9567,1544
SSSB,SSSB Kurland,2Bedrooms,2 rooms & kitchenette,2,59,54,64,14208.5,13492,14925,1814
SSSB,SSSB V_tan,1Bedroom,1 room & kitchenette,37,37,25,49,7617,5942,9292,1281
SSSB,SSSB V_tan,2Bedrooms,2 rooms & kitchenette,5,44.5,35,54,9135.5,8000,10271,1649
SSSB,SSSB Pax,Ensuite,Corridor rooms,360,17.5,17,18,4554,3846,5262,214
SSSB,SSSB Pax,1Bedroom,1 room & kitchenette,148,21.5,21,22,4982,4900,5064,599
SSSB,SSSB Pax,2Bedrooms,2 rooms & kitchen,26,47,35,59,8520.5,4900,12141,1029
SSSB,SSSB Pax,3Bedrooms,3 rooms & kitchen,1,83,83,,9643,9643,,905
SSSB,SSSB Strix,Ensuite,Corridor rooms,228,15.5,15,16,4051,3333,4769,220
SSSB,SSSB Strix,1Bedroom,1 room & kitchen/kitchenette,224,30,20,40,6854.5,5654,8055,547
SSSB,SSSB Strix,2Bedrooms,2 rooms & kitchen/kitchenette,58,48.5,34,63,7906.5,5027,10786,654
SSSB,SSSB Strix,3Bedrooms,3 rooms & kitchen,38,55.5,55,56,6548,6548,,1083
SSSB,SSSB Idun,1Bedroom,1 room & kitchen/kitchenette,571,21,14,28,5883.5,3985,7782,798
SSSB,SSSB Idun,2Bedrooms,2 rooms & kitchen/kitchenette,5,26.5,26,27,6674.5,5544,7805,1025
SSSB,SSSB Idun,3Bedrooms,3 rooms & kitchen,2,79.5,79,80,10622,10621,10623,2110
SSSB,SSSB Roslagstull,Ensuite,Corridor rooms,100,16.5,16,17,4100,3950,4250,357
SSSB,SSSB Roslagstull,Ensuite,Room in a double,16,10,10,,3668.5,3564,3773,225
SSSB,SSSB Roslagstull,2Bedrooms,2 rooms & Kitchen,1,50,50,,7420,7420,,1197
SSSB,SSSB Nyponet,1Bedroom,1 room & kitchen,8,17.5,17,18,5167.5,5055,5280,1108
SSSB,SSSB Nyponet,2Bedrooms,2 rooms & kitchen/kitchenette,120,46.5,33,60,8585,7583,9587,1357
SSSB,SSSB Nyponet,3Bedrooms,3 rooms & kitchen,17,69.5,55,84,11091.5,9464,12719,1860
SSSB,SSSB Domus,1Bedroom,1 room & kitchen/kitchenette,61,25,17,33,5793.5,4109,7478,1345
SSSB,SSSB Domus,2Bedrooms,1 room & kitchen/kitchenette,51,47,36,58,7544.5,6512,8577,1220
SSSB,SSSB Forum,Ensuite,Corridor rooms,290,22,16,28,5168,4312,6024,461
SSSB,SSSB Forum,1Bedroom,1 room & kitchen/kitchenette,11,37,24,50,7349.5,4196,10503,1083
SSSB,SSSB Forum,2Bedrooms,2 rooms & kitchen/kitchenette,22,41,37,45,6666,6297,7035,1400
SSSB,SSSB Forum,3Bedrooms,3 rooms & kitchen,2,68,53,83,9949,8217,11681,1151
SSSB,SSSB Jerum,Ensuite,Corridor rooms,362,16.5,16,17,4516,4361,4671,197
SSSB,SSSB Jerum,1Bedroom,1 room & kitchen/kitchenette,13,44.5,38,51,7305.5,6453,8158,1255
SSSB,SSSB Jerum,2Bedrooms,2 rooms & kitchen,69,48.5,33,64,7305.5,6453,8158,1086
SSSB,SSSB Jerum,3Bedrooms,3 rooms & kitchen,1,98,98,,11011,11011,,1519
SSSB,SSSB Mj_lner,1Bedroom,1 room & kitchen,42,36,29,43,7303.5,6343,8264,1587
SSSB,SSSB Mj_lner,2Bedrooms,2 rooms & kitchen,42,63.5,57,70,11204.5,10497,11912,1487
SSSB,SSSB Fyrtalet,Ensuite,Corridor rooms,117,17.5,17,18,4434.5,4330,4539,237
SSSB,SSSB Fyrtalet,2Bedrooms,2 rooms & kitchen,3,47.5,37,58,9313,8163,10463,662
SSSB,SSSB Fyrtalet,3Bedrooms,3 rooms & kitchen,2,70.5,64,77,9704,8945,10463,1648
SSSB,SSSB Hugin & Munin,Ensuite,Room in collective apartment,8,12.5,12,13,4396,4396,,115
SSSB,SSSB Hugin & Munin,1Bedroom,1 room & kitchenette,75,26.5,26,27,5978,5392,6564,1300
SSSB,SSSB Hugin & Munin,2Bedrooms,2 rooms & kitchen,76,61.5,53,70,8969.5,7755,10184,1266
SSSB,SSSB Fr_sunda,3Bedrooms,1 room & kitchen,94,22,18,26,4870,3417,6323,764
SSSB,SSSB Lappk_rrsberget,Ensuite,Corridor rooms,1618,19.5,16,23,4544.5,3973,5116,192
SSSB,SSSB Lappk_rrsberget,1Bedroom,1 room & kitchen/kitchenette,782,29.5,17,42,5909.5,3686,8133,531
SSSB,SSSB Lappk_rrsberget,2Bedrooms,2 rooms & kitchen/kitchenette,80,49,34,64,9882,6885,12879,756
SSSB,SSSB Lappk_rrsberget,3Bedrooms,3 rooms & kitchen,103,58,57,59,9032,8870,9194,1122
SSSB,SSSB Lappk_rrsberget,4Bedrooms,4 rooms & kitchen,111,79.5,72,87,11943.5,10534,13353,1103
SSSB,SSSB Kungshamra,Ensuite,Corridor rooms,384,18.5,17,20,4057,3026,5088,183
SSSB,SSSB Kungshamra,1Bedroom,1 room & kitchen/kitchenette,673,25.5,17,34,6952.5,4800,9105,630
SSSB,SSSB Kungshamra,2Bedrooms,2 rooms & kitchen/kitchenette,82,46,28,64,9246.5,6005,12488,771
SSSB,SSSB Kungshamra,3Bedrooms,3 rooms & kitchen,259,72,55,89,10477,6977,13977,1001
SSSB,SSSB Freja,1Bedroom,1 room & kitchenette,60,22,22,22,5048.5,4963,5134,430
SU Housing Office,SU Housing Albano,Studio,Studio,134,24.5,18,31,8791.666667,7416.666667,10166.66667,
SU Housing Office,SU Housing Albano,1Bedroom,one-bedroom apparment,12,49,43,55,12750,11791.66667,13708.33333,
SU Housing Office,SU Housing Albano,2Bedrooms,two-bedroom apparment,4,70.5,68,73,14645.83333,14416.66667,14875,
SU Housing Office,SU Housing Kungshamra,Ensuite,Corridor Room,40,18.5,18,19,4370.833333,4000,4741.666667,
SU Housing Office,SU Housing Lappis,Ensuite,Corridor Room,300,20,17,23,4583.333333,4000,5166.666667,
SU Housing Office,SU Housing Nora torg,Studio,Studio,28,20,18,22,7108.333333,6966.666667,7250,
SU Housing Office,SU Housing Remus,Ensuite,Shared apartments with four to six bedrooms,,,,,5833.333333,5750,5916.666667,
SU Housing Office,SU Housing Remus,Studio,Small Studio,,,,,5916.666667,5916.666667,,
SU Housing Office,SU Housing Remus,Studio,Studio,,,,,6500,6500,,
SU Housing Office,SU Housing Remus,Studio,Large Studio,,,,,7583.333333,7583.333333,,
SU Housing Office,SU Housing Remus,1Bedroom,one-bedroom apartments,,,,,10583.33333,10416.66667,10750,
SU Housing Office,SU Housing Remus,2Bedrooms,two-bedroom apartments,,,,,13333.33333,13333.33333,,
SBS Norden,Studentbostader Sp_nga Star,Studio,1 Rum,789,16,16,16,6953,6727,7179,
SBS Norden,Studentbostader Sp_nga Star,1Bedroom,1 Rum,84,25,18,32,8285,8285,,
SBS Norden,Studentbostader Sp_nga Star,2Bedrooms,2 Rum,170,40.5,31,50,10090,10090,,
Svenska Bost_der,SB Campus Albano,Studio,Studio,134,24.5,18,31,8791.666667,7416.666667,10166.66667,
Svenska Bost_der,SB Campus Albano,1Bedroom,one-bedroom apparment,12,49,43,55,12750,11791.66667,13708.33333,
Svenska Bost_der,SB Campus Albano,2Bedrooms,two-bedroom apparment,4,70.5,68,73,14645.83333,14416.66667,14875,
Svenska Bost_der,SB Campus Albano,Studio,Studio Albanov_gen 13,,21,21,,7513,7513,,
Svenska Bost_der,SB Campus Albano,1Bedroom,1 Rum Albanov_gen 21,,32,32,,9015,9015,,
Svenska Bost_der,SB Campus Albano,Studio,Studio Albanov_gen 4,,18,18,,7103,7103,,
Svenska Bost_der,SB Campus Albano,Ensuite,Ensuite Albanov_gen 4,,14,14,,6004,6004,,
Svenska Bost_der,SB Campus Albano,Studio,Studio Albanov_gen 5,,18,18,,7375,7375,,
Svenska Bost_der,SB Campus Albano,Studio,Studio Fakultetsgr_nd 8,,21,21,,7512,7512,,
Svenska Bost_der,SB Campus Albano,Ensuite,Ensuite Ruddammsv_gen 65,,14,14,,6004,6004,,
Svenska Bost_der,SB Campus Albano,1Bedroom,1 Rum Albanov_gen 5,,29,29,,8605,8605,,
Svenska Bost_der,SB Campus G_rdet-Rio,1Bedroom,1 Rum Rind_gatan 34,,32,32,,6875,6875,,
Svenska Bost_der,SB Campus S_dermalm,Studio,1 Rum Lundagatan 59,,31,31,,5469,5469,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1117,,24,24,,6461,6461,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1215,,24,24,,6400,6400,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,1Bedroom,1.5 Rum 800,,40,40,,9464,9464,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum 1177,,24,24,,6187,6187,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,1Bedroom,2 Rum 1312,,42,42,,10294,10294,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49,,23.5,23,24,6035.5,5610,6461,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49 652,,23,23,,5883,5883,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 51 644,,24,24,,6066,6066,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 49 777 ,,24,24,,5676,5676,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 51 621,,24,24,,5916,5916,,
Kista Studentbost_der,Kista_Galleria Student Accomodation,Studio,1 Rum No 1001,,24,24,,5432,5432,,