Room Type,Address,Rent Type,Area,Living Space,Rent,Moving In,Queue Days,Floor
Corridor room,Studentbacken 21 / 1212,10 mån hyra | Electricity included,Jerum,17 m²,4 805 SEK,2025/9/16,90 (4st),2
Corridor room,Studentbacken 21 / 1410,10 mån hyra | Electricity included,Jerum,17 m²,4 593 SEK,2025/9/16,90 (4st),4
Corridor room,Studentbacken 21 / 1603,10 mån hyra | Electricity included,Jerum,17 m²,4 593 SEK,2025/9/16,90 (4st),6
3 rooms & kitchen,Norra Stationsgatan 97 / 1101,Electricity included,Idun,80 m²,11 203 SEK,2025/9/1,1306 (6st),1
4 rooms & kitchen,Röntgenvägen 1 / 2219,Electricity included,Flemingsberg,96 m²,10 994 SEK,2025/9/1,0 (0st),12
4 rooms & kitchen,Professorsslingan 33 / 1701,,Lappkärrsberget,75 m²,11 379 SEK,2025/9/1,566 (4st),7
1 room & kitchenette,Körsbärsvägen 2 B / 1001,Electricity included,Forum,45 m²,9 825 SEK,2025/9/1,714 (4st),GF
Corridor room,Amanuensvägen  8 / 1211,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 610 SEK,2025/9/1,90 (6st),3
Corridor room,Studentbacken 21 / 1404,10 mån hyra | Electricity included,Jerum,17 m²,4 593 SEK,2025/9/16,90 (3st),4
1 room & kitchen,Professorsslingan 47 / 2001,,Lappkärrsberget,23 m²,8 050 SEK,2025/9/1,90 (6st),10
,,,,,,,,
,,,,,,,,
Corridor room,Professorsslingan 25 / 1008,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 616 SEK,2025/9/1,90 (6st),GF
1 room & kitchen,Professorsslingan 49 / 2007,,Lappkärrsberget,24 m²,8 104 SEK,2025/9/16,90 (5st),10
2 rooms & kitchen,Körsbärsvägen 5 / 1301,Electricity included,Domus,58 m²,9 040 SEK,2025/9/16,1644 (4st),3
2 rooms & kitchenette,Körsbärsvägen 9 / 1106,,Nyponet,37 m²,7 552 SEK,2025/9/16,752 (5st),5
2 rooms & kitchenette,Körsbärsvägen 9 / 2602,,Nyponet,37 m²,7 570 SEK,2025/9/1,1119 (4st),20
Corridor room,Roslagstullsbacken 5 / 1206,10 mån hyra | Electricity included | Max 4 years,Roslagstull,17 m²,4 371 SEK,2025/9/16,90 (6st),2
1 room & kitchenette,Gärdesvägen  6 / 1006,Electricity included,Freja,23 m²,5 405 SEK,2025/9/16,388 (5st),GF
1 room & kitchenette,Gärdesvägen 10 / 1105,Electricity included,Freja,23 m²,5 296 SEK,2025/9/16,761 (2st),1
1 room & kitchenette,Gärdesvägen  8 / 1103,Electricity included,Freja,23 m²,5 405 SEK,2025/9/16,761 (4st),1
1 room & kitchenette,Öregrundsgatan 11 / 1102,Max 4 years,Munin,26 m²,5 905 SEK,2025/9/1,1040 (9st),1
,,,,,,,,
,,,,,,,,
Corridor room,Värtavägen 66 / 1704,10 mån hyra | Electricity included,Fyrtalet,18 m²,4 771 SEK,2025/9/16,574 (1st),7
Corridor room,Körsbärsvägen 4 C / 1312,10 mån hyra | Electricity included | Max 4 years,Forum,18 m²,4 542 SEK,2025/9/1,90 (5st),3
Corridor room,Körsbärsvägen 4 C / 1318,10 mån hyra | Electricity included | Max 4 years,Forum,18 m²,4 542 SEK,2025/9/1,332 (4st),3
Corridor room,Körsbärsvägen 4 B / 1403,10 mån hyra | Electricity included | Max 4 years,Forum,18 m²,4 542 SEK,2025/9/1,332 (4st),4
Corridor room,Körsbärsvägen 4 C / 1412,10 mån hyra | Electricity included | Max 4 years,Forum,18 m²,4 755 SEK,2025/9/1,116 (3st),4
Corridor room,Körsbärsvägen 4 A / 1408,10 mån hyra | Electricity included | Max 4 years,Forum,18 m²,4 542 SEK,2025/9/1,332 (4st),4
Room in a collective housing,Kammakargatan 36 B / 1106,Electricity included | Max 4 years,Kurland,20 m²,8 463 SEK,2025/9/1,90 (2st),1
Room in a collective housing,Kammakargatan 36 B / 1304,Electricity included | Max 4 years,Kurland,16 m²,6 968 SEK,2025/9/1,90 (2st),3
1 room & kitchenette,Norra Stationsgatan 99 / 1132,Electricity included,Idun,19 m²,4 832 SEK,2025/9/1,626 (4st),1
2 rooms & kitchenette,Röntgenvägen 1 / 1213,Electricity included,Flemingsberg,42 m²,6 305 SEK,2025/9/16,761 (2st),2
,,,,,,,,
,,,,,,,,
Corridor room,Röntgenvägen 1 / 2210,10 mån hyra | Electricity included,Flemingsberg,18 m²,4 240 SEK,2025/10/1,11 (1st),12
1 room & kitchenette,Röntgenvägen 1 / 2419,Electricity included,Flemingsberg,24 m²,3 789 SEK,2025/10/1,240 (3st),14
Corridor room,Armégatan 32 A / 1317,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 720 SEK,2025/9/1,90 (2st),3
Corridor room,Armégatan 32 A / 1304,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/1,90 (2st),3
Corridor room,Armégatan 32 A / 1305,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/1,90 (3st),3
Corridor room,Armégatan 32 A / 1314,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/1,90 (3st),3
Corridor room,Armégatan 32 A / 1916,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/1,90 (3st),9
Corridor room,Emmylundsvägen 1 / 1113,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/1,90 (3st),1
Corridor room,Emmylundsvägen 3 / 1203,10 mån hyra | Electricity included | Max 4 years,Pax,17 m²,4 261 SEK,2025/9/1,405 (1st),2
Corridor room,Emmylundsvägen 1 / 1405,10 mån hyra | Electricity included | Max 4 years,Pax,17 m²,4 049 SEK,2025/9/1,90 (3st),4
,,,,,,,,
,,,,,,,,
Corridor room,Emmylundsvägen 1 / 1406,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/1,90 (3st),4
Corridor room,Emmylundsvägen 1 / 1504,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 262 SEK,2025/9/1,90 (1st),5
Corridor room,Emmylundsvägen 1 / 1516,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/1,90 (2st),5
Corridor room,Emmylundsvägen 1 / 1612,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/1,90 (1st),6
Corridor room,Emmylundsvägen 1 / 1714,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 257 SEK,2025/9/1,90 (2st),7
1 room & kitchenette,Emmylundsvägen 5 / 1508,,Pax,22 m²,5 151 SEK,2025/9/1,620 (4st),5
Corridor room,Kungshamra 71 / 1021,10 mån hyra | Electricity included | Max 4 years,Kungshamra,19 m²,4 810 SEK,2025/9/1,90 (5st),GF
1 room & kitchenette,Kungshamra  3 / 1028,,Kungshamra,23 m²,5 296 SEK,2025/10/1,693 (2st),GF
1 room & kitchenette,Kungshamra  3 / 1229,,Kungshamra,23 m²,5 296 SEK,2025/10/1,408 (4st),2
1 room & kitchenette,Kungshamra  3 / 1221,,Kungshamra,23 m²,5 296 SEK,2025/10/1,408 (6st),2
,,,,,,,,
,,,,,,,,
1 room & kitchenette,Kungshamra 82 / 1306,,Kungshamra,23 m²,5 291 SEK,2025/10/1,384 (7st),3
1 room & kitchenette,Kungshamra 83 / 1115,,Kungshamra,23 m²,5 220 SEK,2025/10/1,408 (6st),1
2 rooms & kitchen,Professorsslingan 47 / 1002,,Lappkärrsberget,48 m²,12 380 SEK,2025/9/1,566 (1st),GF
Corridor room,Forskarbacken 17 / 1206,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 318 SEK,2025/9/1,90 (4st),GF
1 room & kitchenette,Norra Stationsgatan 99 / 1227,Electricity included,Idun,19 m²,4 673 SEK,2025/9/1,693 (4st),2
Corridor room,Forskarbacken 17 / 1305,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 318 SEK,2025/9/1,90 (5st),3
Corridor room,Amanuensvägen  3 / 1105,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 806 SEK,2025/9/1,90 (5st),2
Corridor room,Amanuensvägen  3 / 1203,10 mån hyra | Electricity included,Lappkärrsberget,21 m²,4 902 SEK,2025/9/1,90 (6st),3
Corridor room,Professorsslingan 13 / 1108,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 832 SEK,2025/10/1,90 (4st),1
1 room & kitchenette,Forskarbacken 11 / 1108,Electricity included,Lappkärrsberget,18 m²,4 322 SEK,2025/9/1,387 (7st),GF
,,,,,,,,
,,,,,,,,
Corridor room,Forskarbacken 15 / 1206,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 299 SEK,2025/9/1,387 (4st),GF
2 rooms & kitchenette,Studentbacken 23 / 1616,Electricity included,Jerum,35 m²,6 027 SEK,2025/9/1,773 (1st),6
1 room & kitchenette,Norra Stationsgatan 99 / 1338,Electricity included,Idun,18 m²,4 221 SEK,2025/9/1,626 (8st),3
1 room & kitchenette,Norra Stationsgatan 99 / 1453,Electricity included,Idun,20 m²,4 795 SEK,2025/9/1,626 (7st),4
Corridor room,Armégatan 32 A / 1310,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (2st),3
Corridor room,Armégatan 32 A / 1520,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (2st),5
Corridor room,Emmylundsvägen 1 / 1310,10 mån hyra | Electricity included | Max 4 years,Pax,18 m²,4 049 SEK,2025/9/16,90 (2st),3
1 room & kitchenette,Kungshamra 82 / 1117,,Kungshamra,23 m²,5 291 SEK,2025/9/16,693 (3st),1
Corridor room,Forskarbacken  9 / 1202,10 mån hyra | Electricity included,Lappkärrsberget,18 m²,4 515 SEK,2025/9/16,90 (4st),2
Corridor room,Emmylundsvägen 3 / 1703,10 mån hyra | Electricity included | Max 4 years,Pax,17 m²,4 262 SEK,2025/8/16,90 (3st),7
,,,,,,,,
,,,,,,,,
Corridor room,Armégatan 32 A / 1901,10 mån hyra | Electricity included | Max 4 years,Strix,16 m²,3 508 SEK,2025/9/16,90 (3st),9
